season,week,pred_bottomk,actual_eliminated_list,match,bottom_k,score_col
1,1,['Evander Holyfield'],,False,1,adjusted_score
1,2,['Trista Sutter'],['Trista Sutter'],True,1,adjusted_score
1,3,['Evander Holyfield'],['Evander Holyfield'],True,1,adjusted_score
1,4,['Rachel Hunter'],['Rachel Hunter'],True,1,adjusted_score
1,5,['Joey McIntyre'],,False,1,adjusted_score
1,6,"[""John O'Hurley""]",,False,1,adjusted_score
2,1,['Kenny Mayne'],['Kenny Mayne'],True,1,adjusted_score
2,2,"[""Tatum O'Neal""]","[""Tatum O'Neal""]",True,1,adjusted_score
2,3,['Master P'],['Giselle Fernandez'],False,1,adjusted_score
2,4,['Master P'],['Master P'],True,1,adjusted_score
2,5,['Tia Carrere'],['Tia Carrere'],True,1,adjusted_score
2,6,['George Hamilton'],['George Hamilton'],True,1,adjusted_score
2,7,['Jerry Rice'],['Lisa Rinna'],False,1,adjusted_score
2,8,['Jerry Rice'],,False,1,adjusted_score
3,1,['Tucker Carlson'],['Tucker Carlson'],True,1,adjusted_score
3,2,['Jerry Springer'],['Shanna Moakler'],False,1,adjusted_score
3,3,['Harry Hamlin'],['Harry Hamlin'],True,1,adjusted_score
3,4,['Sara Evans'],['Vivica A. Fox'],False,1,adjusted_score
3,5,['Jerry Springer'],['Willa Ford'],False,1,adjusted_score
3,6,['Jerry Springer'],,False,1,adjusted_score
3,7,['Jerry Springer'],['Jerry Springer'],True,1,adjusted_score
3,8,['Monique Coleman'],['Monique Coleman'],True,1,adjusted_score
3,9,['Joey Lawrence'],,False,1,adjusted_score
3,10,['Emmitt Smith'],,False,1,adjusted_score
4,1,['Clyde Drexler'],,False,1,adjusted_score
4,2,['Clyde Drexler'],['Paulina Porizkova'],False,1,adjusted_score
4,3,['Clyde Drexler'],['Shandi Finnessey'],False,1,adjusted_score
4,4,['Leeza Gibbons'],['Leeza Gibbons'],True,1,adjusted_score
4,5,['Clyde Drexler'],['Clyde Drexler'],True,1,adjusted_score
4,6,['John Ratzenberger'],['Heather Mills'],False,1,adjusted_score
4,7,['Billy Ray Cyrus'],['John Ratzenberger'],False,1,adjusted_score
4,8,['Billy Ray Cyrus'],['Billy Ray Cyrus'],True,1,adjusted_score
4,9,['Ian Ziering'],['Ian Ziering'],True,1,adjusted_score
4,10,['Laila Ali'],,False,1,adjusted_score
5,1,['Josie Maran'],['Josie Maran'],True,1,adjusted_score
5,2,['Wayne Newton'],['Albert Reed'],False,1,adjusted_score
5,3,['Wayne Newton'],['Wayne Newton'],True,1,adjusted_score
