season,week,w_judge,w_fan,n_contestants,used_inherit,mean_abs_change_delta_0.05
1,1,0.4004562655618865,0.5995437344381135,6,False,0.022727779674132687
1,2,0.4138098769993847,0.5861901230006152,6,False,0.022292377505502933
1,3,0.3535987083036856,0.6464012916963144,5,False,0.016816697345358872
1,4,0.3535987083036856,0.6464012916963144,4,True,0.034475132143723206
1,5,0.3535987083036856,0.6464012916963144,3,True,0.01827794319602072
1,6,0.3535987083036856,0.6464012916963144,2,True,5.00155472593633e-14
2,1,0.4255446797045682,0.5744553202954318,10,False,0.010765023888293665
2,2,0.38127328127666393,0.6187267187233361,9,False,0.00951667564164592
2,3,0.2649422178544595,0.7350577821455405,8,False,0.02044870787815754
2,4,0.2711774333322924,0.7288225666677075,7,False,0.01655355670665732
2,5,0.3119789548734795,0.6880210451265205,6,False,0.007413128710318702
2,6,0.4148205757925155,0.5851794242074845,5,False,0.003400141466449838
2,7,0.4148205757925155,0.5851794242074845,4,True,0.023236488461256186
2,8,0.4148205757925155,0.5851794242074845,3,True,0.003602556678713268
3,1,0.45086480628424425,0.5491351937157557,11,False,0.005383332778951972
3,2,0.5176150012080046,0.4823849987919954,10,False,0.014335495433132266
3,3,0.5281935877071879,0.47180641229281206,9,False,0.019795332229606163
3,4,0.5104114802255241,0.48958851977447604,8,False,0.009452473872646687
3,5,0.5611502615430011,0.43884973845699893,7,False,0.017611072864008162
3,6,0.5144016344994383,0.4855983655005617,5,False,0.001378766144267507
3,7,0.46448219496903,0.53551780503097,5,False,0.012883877573306324
3,8,0.46448219496903,0.53551780503097,4,True,0.005846140988176568
3,9,0.46448219496903,0.53551780503097,3,True,0.027875603653296593
3,10,0.46448219496903,0.53551780503097,2,True,0.024999999999999967
4,1,0.48428332670110663,0.5157166732988934,11,False,0.007422200557990815
4,2,0.4829708650038862,0.5170291349961138,11,False,0.007510370962730939
4,3,0.4151079023404156,0.5848920976595844,10,False,0.013967064119802253
4,4,0.5086978027083343,0.4913021972916657,9,False,0.006741592630779432
4,5,0.47180593337072496,0.528194066629275,8,False,0.0033873847876064248
4,6,0.48784453863822314,0.5121554613617769,7,False,0.007285750327015244
4,7,0.47702603238745955,0.5229739676125404,6,False,0.011964383961042421
4,8,0.4640886621656515,0.5359113378343485,5,False,0.00338321197198973
4,9,0.4640886621656515,0.5359113378343485,4,True,0.016173156992220467
4,10,0.4640886621656515,0.5359113378343485,3,True,0.002050146402041116
5,1,0.3978007160381776,0.6021992839618223,12,False,0.006410387226111672
5,2,0.4159106360289808,0.5840893639710192,11,False,0.009232618538551432
5,3,0.4214295385127893,0.5785704614872107,10,False,0.009160564169580845
5,4,0.47584375900395104,0.524156240996049,9,False,0.008078593584334194
5,5,0.5385303790309415,0.46146962096905847,8,False,0.010340585364729558
5,6,0.5511941763368111,0.4488058236631889,7,False,0.008510851893648946
5,7,0.4089016367021926,0.5910983632978073,6,False,0.011333559821189552
5,8,0.5244557167270991,0.47554428327290077,5,False,0.011426153527725264
5,9,0.5244557167270991,0.47554428327290077,4,True,0.011563911251634605
5,10,0.5244557167270991,0.47554428327290077,3,True,0.00028734099855117395
6,1,0.5540088362007275,0.4459911637992725,12,False,0.005076688928192376
6,2,0.5119211726273574,0.4880788273726426,12,False,0.007899333938311874
6,3,0.5457008381195192,0.45429916188048086,10,False,0.010504594034149757
6,4,0.46569501161768573,0.5343049883823143,9,False,0.009859427530571056
6,5,0.5583563908547968,0.4416436091452032,8,False,0.005895715235851754
6,6,0.467190978095975,0.5328090219040251,7,False,0.00993469290439984
6,7,0.4671016750842905,0.5328983249157095,6,False,0.015928052250284236
6,8,0.5056510548833475,0.49434894511665256,5,False,0.018798430083738445
6,9,0.5056510548833475,0.49434894511665256,4,True,0.004923436724837638
6,10,0.5056510548833475,0.49434894511665256,3,True,0.005502616288234637
7,1,0.3158951622462604,0.6841048377537396,13,False,0.008971881244093234
7,2,0.38766516101219417,0.6123348389878058,11,False,0.010585191180685948
7,3,0.3990060213503023,0.6009939786496977,9,False,0.005254156081716834
7,4,0.4038461884099013,0.5961538115900988,9,False,0.011397952444077696
7,5,0.5748384741082209,0.42516152589177914,8,False,0.012650493453731584
7,6,0.4524014803354858,0.5475985196645142,7,False,0.014657029667408903
7,7,0.5268710315524403,0.4731289684475597,6,False,0.010366534758112866
7,8,0.606320924601513,0.39367907539848696,5,False,0.009985047631507168
7,9,0.606320924601513,0.39367907539848696,4,True,0.0157436626921085
7,10,0.606320924601513,0.39367907539848696,3,True,0.004947832367380912
8,1,0.47454601564054344,0.5254539843594566,13,False,0.005208889376330192
