season,week,k_eliminations_official,is_final_week,rank_eliminated,percent_eliminated,rank_bottom_two,percent_bottom_two,rank_judges_save_eliminated,percent_judges_save_eliminated,rank_js_bottom_two,percent_js_bottom_two,rank_vs_percent_diff,rank_js_changes,percent_js_changes
1,1,1,False,Evander Holyfield,Evander Holyfield,Evander Holyfield;Kelly Monaco,Evander Holyfield;Trista Sutter,Kelly Monaco,Evander Holyfield,Evander Holyfield;Kelly Monaco,Evander Holyfield;Trista Sutter,False,True,False
1,2,1,False,Trista Sutter,Trista Sutter,Trista Sutter;Joey McIntyre,Trista Sutter;Joey McIntyre,Evander Holyfield,Trista Sutter,Trista Sutter;Evander Holyfield,Trista Sutter;Joey McIntyre,False,True,False
1,3,1,False,Joey McIntyre,Joey McIntyre,Joey McIntyre;Kelly Monaco,Joey McIntyre;John O'Hurley,Trista Sutter,Joey McIntyre,Trista Sutter;Joey McIntyre,Joey McIntyre;John O'Hurley,False,True,False
1,4,1,False,Rachel Hunter,John O'Hurley,Rachel Hunter;John O'Hurley,John O'Hurley;Rachel Hunter,Joey McIntyre,John O'Hurley,Joey McIntyre;John O'Hurley,John O'Hurley;Rachel Hunter,True,True,False
1,5,1,False,Kelly Monaco,Rachel Hunter,Kelly Monaco;John O'Hurley,Rachel Hunter;Kelly Monaco,Rachel Hunter,Rachel Hunter,Rachel Hunter;John O'Hurley,Rachel Hunter;Kelly Monaco,True,True,False
1,6,0,True,,,John O'Hurley,Kelly Monaco,,,John O'Hurley,Kelly Monaco,False,False,False
2,1,1,False,Master P,Kenny Mayne,Master P;Kenny Mayne,Kenny Mayne;Master P,Master P,Master P,Master P;Kenny Mayne,Kenny Mayne;Master P,True,False,True
2,2,1,False,Kenny Mayne,Tatum O'Neal,Kenny Mayne;Tatum O'Neal,Tatum O'Neal;Master P,Kenny Mayne,Kenny Mayne,Kenny Mayne;Tatum O'Neal,Kenny Mayne;Tatum O'Neal,True,False,True
2,3,1,False,Tatum O'Neal,Master P,Tatum O'Neal;Giselle Fernandez,Master P;Giselle Fernandez,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal;Giselle Fernandez,Tatum O'Neal;Giselle Fernandez,True,False,True
2,4,1,False,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez;George Hamilton,Giselle Fernandez;George Hamilton,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez;George Hamilton,Giselle Fernandez;George Hamilton,False,False,False
2,5,1,False,Tia Carrere,Tia Carrere,Tia Carrere;George Hamilton,Tia Carrere;Jerry Rice,Tia Carrere,Tia Carrere,Tia Carrere;George Hamilton,Tia Carrere;Jerry Rice,False,False,False
2,6,1,False,George Hamilton,George Hamilton,George Hamilton;Jerry Rice,George Hamilton;Jerry Rice,George Hamilton,George Hamilton,George Hamilton;Jerry Rice,George Hamilton;Jerry Rice,False,False,False
2,7,1,False,Lisa Rinna,Jerry Rice,Lisa Rinna;Jerry Rice,Jerry Rice;Lisa Rinna,Jerry Rice,Jerry Rice,Lisa Rinna;Jerry Rice,Jerry Rice;Lisa Rinna,True,True,False
2,8,0,True,,,Jerry Rice;Stacy Keibler,Lisa Rinna;Stacy Keibler,,,Lisa Rinna;Stacy Keibler,Lisa Rinna;Stacy Keibler,False,False,False
3,1,1,False,Tucker Carlson,Tucker Carlson,Tucker Carlson;Sara Evans,Tucker Carlson;Jerry Springer,Tucker Carlson,Tucker Carlson,Tucker Carlson;Sara Evans,Tucker Carlson;Jerry Springer,False,False,False
3,2,1,False,Jerry Springer,Shanna Moakler,Jerry Springer;Shanna Moakler,Shanna Moakler;Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer;Shanna Moakler,Shanna Moakler;Jerry Springer,True,False,True
3,3,1,False,Shanna Moakler,Harry Hamlin,Shanna Moakler;Emmitt Smith,Harry Hamlin;Jerry Springer,Shanna Moakler,Shanna Moakler,Shanna Moakler;Emmitt Smith,Shanna Moakler;Harry Hamlin,True,False,True
3,4,1,False,Harry Hamlin,Vivica A. Fox,Harry Hamlin;Sara Evans,Vivica A. Fox;Sara Evans,Harry Hamlin,Harry Hamlin,Harry Hamlin;Sara Evans,Harry Hamlin;Vivica A. Fox,True,False,True
3,5,1,False,Vivica A. Fox,Willa Ford,Vivica A. Fox;Sara Evans,Willa Ford;Sara Evans,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox;Sara Evans,Vivica A. Fox;Willa Ford,True,False,True
3,6,1,False,Sara Evans,Sara Evans,Sara Evans;Willa Ford,Sara Evans;Jerry Springer,Sara Evans,Sara Evans,Sara Evans;Willa Ford,Sara Evans;Willa Ford,False,False,False
3,7,1,False,Willa Ford,Jerry Springer,Willa Ford;Monique Coleman,Jerry Springer;Monique Coleman,Willa Ford,Willa Ford,Willa Ford;Monique Coleman,Willa Ford;Monique Coleman,True,False,True
3,8,1,False,Monique Coleman,Monique Coleman,Monique Coleman;Joey Lawrence,Monique Coleman;Joey Lawrence,Monique Coleman,Monique Coleman,Monique Coleman;Joey Lawrence,Monique Coleman;Joey Lawrence,False,False,False
3,9,1,False,Joey Lawrence,Joey Lawrence,Joey Lawrence;Emmitt Smith,Joey Lawrence;Emmitt Smith,Joey Lawrence,Joey Lawrence,Joey Lawrence;Emmitt Smith,Joey Lawrence;Emmitt Smith,False,False,False
3,10,0,True,,,Emmitt Smith;Mario Lopez,Emmitt Smith;Mario Lopez,,,Emmitt Smith;Mario Lopez,Emmitt Smith;Mario Lopez,False,False,False
4,1,1,False,Billy Ray Cyrus,Clyde Drexler,Billy Ray Cyrus;Clyde Drexler,Clyde Drexler;Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus;Clyde Drexler,Clyde Drexler;Billy Ray Cyrus,True,False,True
4,2,1,False,Clyde Drexler,Paulina Porizkova,Clyde Drexler;Paulina Porizkova,Paulina Porizkova;John Ratzenberger,Clyde Drexler,Clyde Drexler,Clyde Drexler;Paulina Porizkova,Paulina Porizkova;Clyde Drexler,True,False,True
4,3,1,False,Paulina Porizkova,Shandi Finnessey,Paulina Porizkova;John Ratzenberger,Shandi Finnessey;John Ratzenberger,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova;John Ratzenberger,Paulina Porizkova;Shandi Finnessey,True,False,True
